name,latitude,longitude,reference_code
Peaje Puerto Viejo,-27.3482936,-70.6363335,
Peaje Lampa,-33.2357344,-70.7592174,
Peaje Lampa,-33.2355669,-70.7586049,
Pórtico,-33.3938014,-70.6188101,
Peaje Totoral,-27.9970728,-70.5659163,
Peaje Totoral,-27.9971144,-70.5657554,
Pórtico,-33.439602,-70.607946,
Pórtico,-33.388523,-70.6162404,
Pórtico,-33.3884871,-70.616199,
Pórtico,-30.4081909,-71.4455377,
Pórtico,-30.4082186,-71.4454017,
Pórtico,-31.4460798,-71.5612496,
Peaje Lateral Acceso Ruta 1 Sector Aeropuerto,-23.4515623,-70.4312199,
Pórtico,-23.448667,-70.4402584,
PA17 - 14 de la Fama - Américo Vespucio Norte,-33.3685816,-70.6991042,PA17
Pórtico,-27.3655163,-70.9526905,
Pórtico,-20.4956151,-70.1615943,
Pórtico,-35.6035971,-71.0566707,
Pórtico,-32.9733503,-71.3026736,
Pórtico,-32.875029,-71.2307811,
Pórtico,-32.875537,-71.2316313,
Pórtico,-33.6636139,-70.6688892,
Pórtico,-33.6630315,-70.6694088,
Pórtico,-32.7695139,-70.7038138,
Pórtico,-32.7692545,-70.7035843,
Pórtico,-40.5794194,-73.098143,
Peaje Troncal F-90,-33.4005961,-71.4976724,
P07 Estoril - Las Tranqueras,-33.3876805,-70.5429258,P07
PA7 - Las Acacias - Américo Vespucio,-33.5478986,-70.6970069,PA7
PA8 - Américo Vespucio - Las Acacias,-33.5476268,-70.696839,PA8
Pórtico,-33.4254078,-70.6252968,
Pórtico,-35.5662339,-71.6980111,
Peaje Curanilahue,-37.3840332,-73.3399163,
Peaje Curanilahue,-37.384059,-73.339757,
Peaje Pilpilco,-37.5744563,-73.4152311,
P05 Vivaceta - Carrascal,-33.4264381,-70.669833,P05
Pórtico,-34.5905275,-70.9695005,
Pórtico,-41.5890296,-73.2334716,
Pórtico,-41.5894053,-73.2332983,
Pórtico,-41.6170846,-73.2737068,
Pórtico,-41.6169937,-73.27386,
P2.2 Puente Lo Saldes - Centenario,-33.3944443,-70.6033861,P2.2
P01 Puente La Dehesa - Gran Vía,-33.3758198,-70.5426489,P01
Pórtico,-41.5169794,-73.0777778,
Pórtico,-41.5166876,-73.0781859,
Pórtico,-33.4396035,-70.6078882,
Pórtico,-34.9766111,-71.2057379,
"P8.1 Las Tranqueras - Costanera Norte (Longitud 5,46 Kms)",-33.4081406,-70.5997632,P8.1
Peaje Troncal Cristo Redentor,-32.9006808,-70.2489099,
Pórtico,-29.0867108,-70.917138,
Peaje San Roque,-37.3556968,-72.8402306,
Peaje Troncal Las Raíces,-38.5583197,-71.4976714,
Pórtico,-23.4538418,-70.1251861,
Pórtico,-23.4539561,-70.1251753,
Peaje Chivilingo,-37.1492396,-73.1741414,
Peaje Chivilingo,-37.149071,-73.174323,
Peaje Angostura,-33.9078062,-70.7314403,
Pórtico,-33.340624,-71.3666726,
Peaje Punta Colorada,-29.3710086,-71.073152,
Peaje Punta Colorada,-29.3711049,-71.0730829,
Peaje Cachiyuyo Troncal,-29.0867398,-70.9169494,
PA31 - Carlos Valdovinos - Alameda,-33.469011,-70.6562428,PA31
P1 Ruta 78 - Santa Elena,-33.483359,-70.7530939,P1
Pórtico,-30.330342,-71.2441308,
Peaje Angostura,-33.9074017,-70.7309078,
Lateral Cocharcas,-36.5244586,-72.0724233,
Pórtico,-35.577199,-71.7066412,
Pórtico,-34.7961018,-71.0481615,
Pórtico,-34.8006523,-71.0496354,
P63 Troncal Poniente,-33.2994711,-70.6704931,P63
P62 Troncal Poniente,-33.2993839,-70.6704998,P62
P65 Troncal Oriente,-33.3113895,-70.6341887,P65
Peaje Angostura,-33.9076152,-70.7312672,
Peaje Angostura,-33.9075996,-70.7310618,
Pórtico,-33.3881842,-70.6017535,
PA20 - Américo Vespucio - Ruta 5 Sur,-33.5364729,-70.7076591,PA20
Peaje Huinanco,-36.9602635,-72.7283823,
Peaje Huinanco,-36.9603578,-72.7284072,
Peaje Puentes Negros,-37.1113426,-72.2714105,
Pórtico,-34.7960599,-71.0484888,
Peaje Troncal Lo Prado,-33.4573556,-70.8983566,
P17 Los Mares - Ruta 78,-33.4828675,-70.7535733,P17
Padre Hurtado,-33.5528306,-70.8139017,T3
P61 Lateral,-33.3259183,-70.6242867,P61
P60 Lateral,-33.3246935,-70.6248043,P60
P05 Carrascal - Vivaceta,-33.426442,-70.6701402,P05
P8.0 Las Tranqueras - Costanera Norte,-33.4080729,-70.599764,P8.0
Pórtico,-33.4152825,-70.7929644,
Pórtico,-30.3303571,-71.2442561,
P8.0 Costanera Norte - Las Tranqueras,-33.40909,-70.6043271,P8.0
P8.1 Costanera Norte - Las Tranqueras,-33.4090708,-70.6038986,P8.1
Pórtico,-37.853471,-72.3965159,
Pórtico,-33.2089588,-70.6680483,
PA12 - Alameda - Carlos Valdovinos,-33.468848,-70.6565584,PA12
PA13 - Alameda - Río Mapocho,-33.4489228,-70.6595919,PA13
PA14 - Río Mapocho - Alameda,-33.4483818,-70.6600861,PA14
PA18 - Américo Vespucio Norte - 14 de la Fama,-33.3682982,-70.6994258,PA18
PA19 - Ruta 5 Sur - Américo Vespucio,-33.5514043,-70.7090613,PA19
